Date	D7BT	D7CE	DQAD	YBEU	MNF2	KAB9	DOBQ	EQUITY
	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	RPI:all items ex. mortgage interest payments & council tax (Jan 87=100)	Gross Domestic Product index: Current price: Seasonally adjusted	Gross Domestic Product at market prices:Implied deflator:SA 2020=100	AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears	RPI: housing: mortgage interest payments (Jan 1987=100)	Equity prices
						£	MM23	
	Index, base year = 100	Index, base year = 100	Index, base year = 100				Index, base year = 100	OBR: able 1.9 Economy_supplementary_tables_EFO_March_2021.xlsx
1988 Q1	48.6	31.2	103.9	24.9	42.3059		97.0	
1988 Q2	49.5	33	105.9	25.4	43.0187		99.9	
1988 Q3	49.9	33.3	106.9	26.3	43.831		113.2	
1988 Q4	50.5	33.6	108.3	27.2	44.9049		137.2	
1989 Q1	51	33.7	109.6	27.7	45.642		150.2	
1989 Q2	52.1	36.1	112.1	28.3	46.2068		158.9	
1989 Q3	52.5	36.3	113	29.1	47.4355		165.8	
1989 Q4	53.3	36.7	114.7	29.7	48.4322		181.9	
1990 Q1	53.9	37	116.2	30.3	49.0729		196.5	
1990 Q2	55.6	40	119.8	31.1	50.1793		211.2	
1990 Q3	56.4	40.9	121.7	31.7	51.6563		218.4	
1990 Q4	57.5	41.2	123.9	31.8	51.9706		217.5	
1991 Q1	57.7	41.5	124.8	32.4	53.0568		218.1	
1991 Q2	60.3	45.2	130.3	32.8	53.7695		205.0	
1991 Q3	60.8	45.3	131.7	33.1	54.3925		191.3	
1991 Q4	61.5	45.5	133.4	33.6	55.1092		185.9	
1992 Q1	61.7	45.9	134.1	33.9	55.6088		187.2	
1992 Q2	62.8	48.7	136.9	33.9	55.8039		183.3	
1992 Q3	62.7	48.8	136.8	34	55.5891		182.3	
1992 Q4	63.1	49.1	137.8	34.6	56.1269		174.8	
1993 Q1	63.2	49.2	138.2	35.4	57.0573		146.3	
1993 Q2	64.4	52.2	141.3	35.5	56.9054		141.7	
1993 Q3	64.5	52.4	141.7	36.1	57.4561		143.4	
1993 Q4	64.7	52.7	142.1	36.6	57.7784		145.2	
1994 Q1	64.7	52.6	142.5	37.1	57.964		141.4	
1994 Q2	65.7	54.9	144.7	37.5	57.7969		150.0	
1994 Q3	65.6	55	144.6	37.9	57.8074		151.6	
1994 Q4	65.8	55.1	145.2	38.7	58.7125		160.8	
1995 Q1	66.3	55.1	146.4	38.9	58.7648		165.9	
1995 Q2	67.3	57.8	148.5	39.4	59.2345		178.8	
1995 Q3	67.4	57.9	148.8	40.1	59.7106		180.6	
1995 Q4	67.7	58.1	149.4	40.5	60.2213		173.7	
1996 Q1	68.1	58.4	150.5	41.1	60.8477		166.9	
1996 Q2	68.9	60.1	152.5	42	61.9209		160.4	
1996 Q3	68.9	60.4	152.9	42.8	62.4139		157.9	
1996 Q4	69.4	60.5	153.9	43.5	62.541		157.0	
1997 Q1	69.4	60.8	154.6	43.7	61.6667		165.0	
1997 Q2	70	62	156.2	44	61.541		169.8	
1997 Q3	70.3	62.1	157	45.3	62.9335		189.3	
1997 Q4	70.6	62.4	158	44.8	61.436		198.9	
1998 Q1	70.5	62.6	158.3	45.4	61.8122		205.0	
1998 Q2	71.3	63.7	160.5	46.1	62.1504		218.6	
1998 Q3	71.2	64	160.8	46.7	62.5549		227.6	
1998 Q4	71.6	64.4	161.7	48	63.5962		222.8	
1999 Q1	71.6	64.5	162.1	48.2	63.4986		193.9	
1999 Q2	72.3	65.7	163.9	47.9	63.0509		184.4	
1999 Q3	72.1	65.9	164	48.6	62.8659		185.3	
1999 Q4	72.5	66.3	165	49.5	63.0714		193.6	
2000 Q1	72.1	66.5	165.2	50.6	63.9349	306	208.7	
2000 Q2	72.7	67.7	167.1	51.1	64.2026	311	239.2	
2000 Q3	72.7	68.1	167.2	51.4	64.458	315	243.1	
2000 Q4	73.2	68.5	168.2	51.6	64.5006	321	246.4	
2001 Q1	72.8	68.7	168	52.1	64.3732	325	245.3	
2001 Q2	73.8	70.2	170.7	53.2	65.2987	328	225.1	
2001 Q3	73.8	70.4	171	53.4	64.9701	331	217.9	
2001 Q4	73.9	70.6	171.3	53.9	65.3163	334	200.2	
2002 Q1	73.9	70.8	171.7	54.4	65.7139	335	190.0	
2002 Q2	74.5	72.1	173.4	55	66.0843	340	193.4	
2002 Q3	74.6	72.1	173.9	55.8	66.6013	342	197.5	
2002 Q4	75	72.3	175.4	56.6	67.0269	343	201.5	
2003 Q1	75	72.3	176.5	57.3	67.4169	345	204.3	
2003 Q2	75.5	72.8	177.9	58	67.5716	349	205.3	
2003 Q3	75.6	73.1	178.3	59.1	68.0978	353	205.0	
2003 Q4	76	73.3	179.3	60.1	68.6206	357	210.6	
2004 Q1	75.9	73.4	179.8	60.3	68.5782	358	225.1	
2004 Q2	76.5	74.4	181.5	61.5	69.6251	364	240.6	
2004 Q3	76.6	74.8	181.7	61.8	69.8717	369	266.5	
2004 Q4	77.1	75.4	183.1	62.5	70.5284	373	278.5	
2005 Q1	77.3	75.7	183.5	63.1	70.637	376	285.1	
2005 Q2	78	77.1	185.4	64.8	71.6878	380	291.4	
